time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-11-01 01:00:00,174.49,173.54,174.66,1174377.49,204259649.23,173.93,multiply,BTC
2018-11-02 01:00:00,176.67,172.87,173.93,1010445.9,177608261.44,175.77,multiply,BTC
2018-11-03 01:00:00,175.71,174.59,175.78,804364.72,140706655.38,174.93,multiply,BTC
2018-11-04 01:00:00,189.18,176.59,174.93,1134736.79,209542040.13,184.66,multiply,BTC
2018-11-05 01:00:00,184.33,181.35,184.66,1055466.14,193367649.75,183.21,multiply,BTC
2018-11-06 01:00:00,191.74,183.48,183.21,1214482.69,232593510.53,191.52,multiply,BTC
2018-11-07 01:00:00,194.08,189.4,191.52,1358813.93,258060814.78,189.92,multiply,BTC
2018-11-08 01:00:00,189.41,185.68,189.92,1108888.0,206021759.49,185.79,multiply,BTC
2018-11-09 01:00:00,185.82,183.35,185.79,952706.25,175692670.97,184.41,multiply,BTC
2018-11-10 01:00:00,187.62,184.81,184.41,924730.08,172615658.18,186.67,multiply,BTC
2018-11-11 01:00:00,187.29,185.14,186.66,1038260.41,193455796.04,186.33,multiply,BTC
2018-11-12 01:00:00,187.4,185.54,186.33,949787.31,177348142.47,186.72,multiply,BTC
2018-11-13 01:00:00,184.51,180.82,186.74,940932.1,170719147.69,181.44,multiply,BTC
2018-11-14 01:00:00,164.25,152.18,181.42,1997152.2,317891272.38,159.17,multiply,BTC
2018-11-15 01:00:00,159.54,154.8,159.17,2083508.76,329933443.18,158.35,multiply,BTC
2018-11-16 01:00:00,155.97,151.61,158.35,1905419.11,289434586.54,151.9,multiply,BTC
2018-11-17 01:00:00,153.3,150.97,152.0,1704766.24,259185358.64,152.04,multiply,BTC
2018-11-18 01:00:00,156.12,152.15,152.02,1528622.88,236470747.95,154.7,multiply,BTC
2018-11-19 01:00:00,130.43,120.57,154.7,2588727.77,327404460.3,126.47,multiply,BTC
2018-11-20 01:00:00,119.45,111.68,126.47,3429053.8,388654022.06,113.34,multiply,BTC
2018-11-21 01:00:00,120.7,115.72,113.34,2672316.58,318041533.91,119.01,multiply,BTC
2018-11-22 01:00:00,112.44,108.9,119.01,2298839.16,250426239.29,108.94,multiply,BTC
2018-11-23 01:00:00,110.85,106.51,108.94,2458751.5,264781532.79,107.69,multiply,BTC
2018-11-24 01:00:00,98.74,94.7,107.69,2365747.48,232630893.89,98.33,multiply,BTC
2018-11-25 01:00:00,102.8,97.65,98.33,3049797.83,309665764.43,101.54,multiply,BTC
2018-11-26 01:00:00,96.57,94.06,101.54,2305220.43,218806039.1,94.92,multiply,BTC
2018-11-27 01:00:00,97.74,93.69,94.95,2813079.41,272480876.45,96.86,multiply,BTC
2018-11-28 01:00:00,108.68,104.42,96.87,2816344.57,303244419.56,107.67,multiply,BTC
2018-11-29 01:00:00,108.32,102.74,107.67,2363349.32,243333119.17,102.96,multiply,BTC
2018-11-30 01:00:00,100.6,96.57,102.97,2203806.82,219213574.12,99.47,multiply,BTC
2018-12-01 01:00:00,106.13,102.74,99.47,2131624.28,221672665.09,103.99,multiply,BTC
